seurat_clusters,celltype,n
0,Macrophages,197
0,Monocytes,515
0,Neutrophils,19
1,Microglia,600
10,B cells,84
11,Macrophages,2
11,Monocytes,1
11,Neutrophils,71
12,Monocytes,21
13,Basophils,17
13,Mast cells,1
2,Endothelial cells,2
2,Epithelial cells,6
2,Fibroblasts,4
2,Macrophages,16
2,Microglia,414
2,Neutrophils,3
2,Stromal cells,1
3,Macrophages,7
3,Microglia,3
3,Neutrophils,477
4,Macrophages,1
4,Microglia,467
4,Neutrophils,1
5,Macrophages,4
5,Microglia,1
5,Monocytes,1
5,Neutrophils,384
6,"B cells, pro",3
6,DC,156
6,Macrophages,53
6,Monocytes,154
6,Neutrophils,1
7,ILC,24
7,Macrophages,2
7,Neutrophils,1
7,NK cells,5
7,NKT,46
7,Stem cells,1
7,T cells,166
7,Tgd,24
8,Macrophages,60
8,Microglia,3
8,Monocytes,46
9,ILC,10
9,Neutrophils,1
9,NK cells,81
