seurat_clusters,Sample_origin,celltype,n
0,galea.m,Neutrophils,650
0,galea.p,Neutrophils,636
1,galea.p,Eosinophils,1
1,galea.m,Neutrophils,480
1,galea.p,Neutrophils,651
2,galea.m,Basophils,1
2,galea.m,Macrophages,1
2,galea.m,Neutrophils,432
2,galea.p,Neutrophils,374
3,galea.m,Neutrophils,346
3,galea.p,Neutrophils,456
4,galea.m,Neutrophils,197
4,galea.p,Neutrophils,220
5,galea.m,Neutrophils,133
5,galea.p,Neutrophils,167
6,galea.m,Neutrophils,134
6,galea.p,Neutrophils,149
7,galea.m,B cells,2
7,galea.m,Basophils,2
7,galea.m,DC,7
7,galea.m,ILC,1
7,galea.m,Macrophages,5
7,galea.p,Macrophages,54
7,galea.m,Microglia,1
7,galea.m,Monocytes,6
7,galea.p,Monocytes,15
7,galea.m,Neutrophils,15
7,galea.p,Neutrophils,63
7,galea.m,NKT,2
7,galea.p,NKT,1
7,galea.m,T cells,6
8,galea.m,Neutrophils,87
8,galea.p,Neutrophils,88
